"","time","day","area","year","air_temp"
"122",9,16,"srimangal",1982,287.992176703301
"123",12,16,"srimangal",1982,296.017705872879
"124",15,16,"srimangal",1982,299.801026229888
"125",18,16,"srimangal",1982,297.125871381208
"126",21,16,"srimangal",1982,293.342599662635
"127",0,17,"srimangal",1982,290.667448975553
"128",3,17,"srimangal",1982,286.884197404175
"129",6,17,"srimangal",1982,284.979069218273
"130",9,17,"srimangal",1982,288.410402731538
"131",12,17,"srimangal",1982,295.689490766037
"132",15,17,"srimangal",1982,299.120930781951
"133",18,17,"srimangal",1982,296.694587641455
"134",21,17,"srimangal",1982,293.263191740196
"135",0,18,"srimangal",1982,290.836852374235
"136",3,18,"srimangal",1982,287.405474746314
"137",6,18,"srimangal",1982,284.688994176465
"138",9,18,"srimangal",1982,288.396969854166
"139",12,18,"srimangal",1982,296.262915056934
"140",15,18,"srimangal",1982,299.971005823778
"141",18,18,"srimangal",1982,297.349045202365
"142",21,18,"srimangal",1982,293.641002106803
"143",0,19,"srimangal",1982,291.019045564237
"144",3,19,"srimangal",1982,287.311022215253
"145",6,19,"srimangal",1982,285.149033013892
"146",9,19,"srimangal",1982,288.713834238069
"147",12,19,"srimangal",1982,296.276055116908
"148",15,19,"srimangal",1982,299.840966986341
"149",18,19,"srimangal",1982,297.320246991017
"150",21,19,"srimangal",1982,293.755380952156
"151",0,20,"srimangal",1982,291.234664878183
"152",3,20,"srimangal",1982,287.669817823434
"153",6,20,"srimangal",1982,285.259050786952
"154",9,20,"srimangal",1982,288.758331498499
"155",12,20,"srimangal",1982,296.181559890117
"156",15,20,"srimangal",1982,299.680949213277
"157",18,20,"srimangal",1982,297.206559673959
"158",21,20,"srimangal",1982,293.707215339012
"159",0,21,"srimangal",1982,291.232829648972
"160",3,21,"srimangal",1982,287.733503949211
"161",6,21,"srimangal",1982,284.589021823447
"162",9,21,"srimangal",1982,288.195076703724
"163",12,21,"srimangal",1982,295.844811370814
"164",15,21,"srimangal",1982,299.450978176789
"165",18,21,"srimangal",1982,296.901087153609
"166",21,21,"srimangal",1982,293.29496670858
"167",0,22,"srimangal",1982,290.745079652131
"168",3,22,"srimangal",1982,287.138978410907
"169",6,22,"srimangal",1982,284.469003392126
"170",9,22,"srimangal",1982,288.143005470685
"171",12,22,"srimangal",1982,295.936880494894
"172",15,22,"srimangal",1982,299.610996608115
"173",18,22,"srimangal",1982,297.013059186113
"174",21,22,"srimangal",1982,293.338990307396
"175",0,23,"srimangal",1982,290.741056926868
"176",3,23,"srimangal",1982,287.067007613804
"177",6,23,"srimangal",1982,283.98888490506
"178",9,23,"srimangal",1982,288.09969040115
"179",12,23,"srimangal",1982,296.820182006836
"180",15,23,"srimangal",1982,300.931115095209
"181",18,23,"srimangal",1982,298.024307966496
"182",21,23,"srimangal",1982,293.913427728354
"183",0,24,"srimangal",1982,291.006625121608
"184",3,24,"srimangal",1982,286.895766775287
"185",6,24,"srimangal",1982,285.138927033795
"186",9,24,"srimangal",1982,289.094424648096
"187",12,24,"srimangal",1982,297.485452580368
"188",15,24,"srimangal",1982,301.441072966464
"189",18,24,"srimangal",1982,298.644086177915
"190",21,24,"srimangal",1982,294.688516645347
"191",0,25,"srimangal",1982,291.891534207923
"192",3,25,"srimangal",1982,287.935985740093
"193",6,25,"srimangal",1982,285.248883588537
"194",9,25,"srimangal",1982,289.364542455933
"195",12,25,"srimangal",1982,298.095329801413
"196",15,25,"srimangal",1982,302.211116411732
"197",18,25,"srimangal",1982,299.300877397389
"198",21,25,"srimangal",1982,295.185143699698
"199",0,26,"srimangal",1982,292.27490921266
"200",3,26,"srimangal",1982,288.159197432637
"201",6,26,"srimangal",1982,285.348756544072
"202",9,26,"srimangal",1982,289.932765742486
"203",12,26,"srimangal",1982,299.657091978107
"204",15,26,"srimangal",1982,304.241243456228
"205",18,26,"srimangal",1982,300.999827478578
"206",21,26,"srimangal",1982,296.415734934393
"207",0,27,"srimangal",1982,293.174323999243
"208",3,27,"srimangal",1982,288.590255866893
"209",6,27,"srimangal",1982,286.658937565978
"210",9,27,"srimangal",1982,290.575608209832
"211",12,27,"srimangal",1982,298.884270223751
"212",15,27,"srimangal",1982,302.801062434278
"213",18,27,"srimangal",1982,300.03153073077
"214",21,27,"srimangal",1982,296.114788874595
"215",0,28,"srimangal",1982,293.345261479501
"216",3,28,"srimangal",1982,289.428540481295
"217",6,28,"srimangal",1982,287.108995492988
"218",9,28,"srimangal",1982,290.812117799383
"219",12,28,"srimangal",1982,298.667767262357
"220",15,28,"srimangal",1982,302.371004507254
"221",18,28,"srimangal",1982,299.752475771471
"222",21,28,"srimangal",1982,296.049286135459
"223",0,29,"srimangal",1982,293.430761473184
"224",3,29,"srimangal",1982,289.727591557903
